EventID,EventName,Year,StartMonth,EndMonth,EventDayStart,EventDayEnd,Classification
3000,Swiss Curling League,2013,1,2,11,3,
3001,Servus Credit Union Juvenile Bonspiel,2013,1,1,11,13,
3003,SK Tankard Northern,2013,1,1,17,20,
3004,SK Tankard Southern,2013,1,1,17,20,
3005,AB Boston Pizza Cup Northerns,2013,1,1,17,20,
3006,AJCT Junior Men's Slam,2013,1,1,18,20,
3007,AJCT Junior Women's Slam,2013,1,1,18,20,
3008,Peace Tour Championship: Competitive,2013,1,1,18,20,
3009,Peace Tour Championship: Challenge,2013,1,1,18,20,
3010,AB Boston Pizza Cup Southerns,2013,1,1,18,23,
3011,Peace Tour Championship: Juniors,2013,1,1,18,20,
3012,USA National Championships,2013,2,2,9,16,
3013,USA National Championships,2013,2,2,9,16,
3014,USA Senior Womens Championship,2013,1,1,23,27,
3015,USA Senior Mens Championship,2013,1,1,23,27,
3016,USA Junior Womens Championship,2013,1,2,26,2,
3017,USA Junior Mens Championship,2013,1,2,26,2,
3018,NB Molson Canadian Mens Wildcard,2013,1,1,18,20,
3019,NB Molson Canadian Mens Prelimenary,2013,1,1,11,13,
3020,Ontario Scotties,2010,1,1,4,11,
3021,USA National Arena Championships,2013,7,7,18,21,
3023,PCA Senior Mens Districts,2013,1,1,25,27,
3026,Swiss Curling League,2013,1,2,25,3,
3027,Co-operative Funeralcare Scottish Women's,2013,2,2,11,17,
3028,Co-operative Funeralcare Scottish Men's,2013,2,2,11,17,
3029,Western Canadian Women's University Championships,2013,2,2,15,18,
3030,Western Canadian University Men's Championships,2013,2,2,15,18,
3031,Swiss Curling League Finals,2013,2,2,16,23,
3032,Swiss Curling League Finals,2013,2,2,16,23,
3033,GNCC Mixed Playdows,2013,2,2,21,24,
3034,Swedish Eliteserien,2013,11,2,15,18,
3035,German Championship Final,2013,2,2,22,24,
3036,German Championship Final,2013,2,2,22,24,
3037,Swedish Eliteserien,2013,2,2,7,24,
3038,Danish Curling Championships,2013,1,2,25,3,
3039,Danish Curling Championships,2013,2,3,14,2,
3042,USA Club National Championships,2013,3,3,2,9,
3043,USA Club National Championships,2013,3,3,2,9,
3044,USA National Mixed Championship,2013,3,3,16,23,
3045,USA College Curling Nationals,2013,3,3,8,10,
3046,WFG Men's Players Championship,2013,3,3,15,17,
3047,WFG Women's Players Championship,2013,3,3,15,17,
3048,AMJ Campbell Shorty Jenkins Classic,2013,9,9,19,22,
3049,AMJ Campbell Shorty Jenkins Classic,2013,9,9,19,22,
3050,Prestige Hotels & Resorts Curling Classic,2013,10,10,3,6,
3051,Prestige Hotels & Resorts Curling Classic,2013,10,10,4,7,
3052,Point Optical Curling Classic,2013,9,9,27,30,
3053,StuSells Toronto Tankard,2013,10,10,11,14,
3054,StuSells Toronto Tankard,2013,10,10,11,14,
3055,Curlers Corner Autumn Gold Curling Classic,2013,10,10,11,14,
3056,Medicine Hat Charity Classic,2013,10,10,18,21,
3057,Medicine Hat Charity Classic,2013,10,10,18,21,
3058,Canad Inns Prairie Classic,2013,10,10,18,21,
3059,Cactus Pheasant Classic,2013,10,10,24,27,
3060,Challenge Chateau Cartier de Gatineau,2013,10,10,24,27,
3061,Challenge Chateau Cartier de Gatineau,2013,10,10,24,27,
3062,Colonial Square Ladies Classic,2013,11,11,15,18,
3063,Manitoba Liquor and Lotteries Women's Classic,2013,10,10,25,28,
3064,Royal LePage OVCA Women's Fall Classic,2013,10,11,31,3,
3065,Boundary Ford Curling Classic,2013,11,12,29,2,
3066,Original 16 WCT Bonspiel,2013,11,11,8,10,
3067,Direct Horizontal Drilling Fall Classic,2013,10,10,11,14,
3068,DEKALB Superspiel,2013,11,11,21,24,
3069,DEKALB Superspiel,2013,11,11,21,24,
3070,Players' Championship,2014,4,4,15,20,
3071,Weatherford Curling Classic,2013,11,12,29,2,
3072,Bernick's Miller Lite Open,2013,10,10,24,27,
3073,Masters of Curling,2013,10,11,29,3,
3074,Canadian Open,2013,11,11,13,17,
3075,Masters of Curling,2013,10,11,30,3,
3076,Vic Open,2013,12,12,13,15,
3077,Red Deer Curling Classic,2013,11,11,1,4,
3078,Red Deer Curling Classic,2013,11,11,1,4,
3079,The Shoot-Out @ the Saville Centre,2013,9,9,12,15,
3080,The Shoot-Out @ the Saville Centre,2013,9,9,12,15,
3081,Stu Sells Oakville Tankard,2013,9,9,5,8,
3082,Stu Sells Oakville Tankard,2013,9,9,5,8,
3083,Spruce Grove Cashspiel,2013,11,11,22,24,
3084,Spruce Grove Cashspiel,2013,11,11,22,24,
3086,Denham Hospitality Summer Classic,2013,9,9,6,8,
3087,Denham Hospitality Summer Classic,2013,9,9,6,8,
3088,University Games Pre-Qualifier,2013,4,4,12,14,
3089,University Games Qualifier,2013,5,5,2,5,
3090,University Games Qualifier,2013,5,5,2,5,
3094,Good Times Bonspiel,2013,9,9,6,8,
3096,Players' Championship,2014,4,4,15,20,
3097,Black Diamond / High River Cash,2013,11,12,29,1,
3099,Atkins Curling Supplies Women's Classic,2013,10,10,18,21,
3100,Whites Drug Store Classic,2013,11,11,8,11,
3101,TD Canada Trust Scugog Cup,2013,11,11,22,24,
3102,Kariuzawa International,2013,4,4,18,21,
3103,Kariuzawa International,2013,4,4,18,21,
3104,Kamloops Crown of Curling,2013,10,10,18,21,
3105,Kamloops Crown of Curling,2013,10,10,18,21,
3106,Tim Hortons Roar of the Rings,2013,12,12,1,8,
3107,Tim Hortons Roar of the Rings,2013,12,12,1,8,
3108,2014 U.S. Olympic Team Trials for Curling,2013,11,11,9,17,
3109,2014 U.S. Olympic Team Trials for Curling,2013,11,11,9,17,
3112,Stroud Sleeman Cash Spiel,2013,10,10,17,20,
3113,Stroud Sleeman Cash Spiel,2013,10,10,17,20,
3114,Huron ReproGraphics Oil Heritage Classic,2013,10,10,25,27,
3115,Mount Lawn Gord Carroll Classic,2013,11,11,13,17,
3116,Mount Lawn Gord Carroll Classic,2013,11,11,13,17,
3119,Capital One Road to the Roar,2013,11,11,5,10,
3120,Capital One Road to the Roar,2013,11,11,5,10,
