EndNum,Hammer,EndSituation,Win
1,0,0,0.38642931453011214
1,1,0,0.6135706854698879
2,0,0,0.5294117647058824
2,0,1,0.5559134836631385
2,0,2,0.7117773019271949
2,0,3,0.8148464163822525
2,0,4,0.9139784946236559
2,0,5,0.9540229885057471
2,0,6,0.9714285714285714
2,1,-6,0.02857142857142857
2,1,-5,0.04597701149425287
2,1,-4,0.08602150537634409
2,1,-3,0.18515358361774745
2,1,-2,0.28822269807280515
2,1,-1,0.44408651633686147
2,1,0,0.47058823529411764
3,0,-5,0.0
3,0,-4,0.05
3,0,-3,0.0872093023255814
3,0,-2,0.18204488778054864
3,0,-1,0.2603211009174312
3,0,0,0.433392539964476
3,0,1,0.5757281553398058
3,0,2,0.7107750472589792
3,0,3,0.7980769230769231
3,0,4,0.8861578266494179
3,0,5,0.9526881720430107
3,0,6,0.9629629629629629
3,0,7,1.0
3,0,8,1.0
3,0,9,1.0
3,1,-9,0.0
3,1,-8,0.0
3,1,-7,0.0
3,1,-6,0.037037037037037035
3,1,-5,0.047311827956989246
3,1,-4,0.11384217335058215
3,1,-3,0.20192307692307693
3,1,-2,0.2892249527410208
3,1,-1,0.4242718446601942
3,1,0,0.566607460035524
3,1,1,0.7396788990825688
3,1,2,0.8179551122194514
3,1,3,0.9127906976744186
3,1,4,0.95
3,1,5,1.0
4,0,-8,0.0
4,0,-7,0.0
4,0,-6,0.0
4,0,-5,0.07462686567164178
4,0,-4,0.038461538461538464
4,0,-3,0.08532423208191127
4,0,-2,0.1726078799249531
4,0,-1,0.28337531486146095
4,0,0,0.4031746031746032
4,0,1,0.5609022556390978
4,0,2,0.7117750439367311
4,0,3,0.8417721518987342
4,0,4,0.882903981264637
4,0,5,0.9558823529411765
4,0,6,0.973753280839895
4,0,7,1.0
4,0,8,1.0
4,0,9,1.0
4,0,10,1.0
4,0,11,1.0
4,0,12,1.0
4,1,-12,0.0
4,1,-11,0.0
4,1,-10,0.0
4,1,-9,0.0
4,1,-8,0.0
4,1,-7,0.0
4,1,-6,0.026246719160104987
4,1,-5,0.04411764705882353
4,1,-4,0.117096018735363
4,1,-3,0.15822784810126583
4,1,-2,0.28822495606326887
4,1,-1,0.43909774436090226
4,1,0,0.5968253968253968
4,1,1,0.716624685138539
4,1,2,0.8273921200750469
4,1,3,0.9146757679180887
4,1,4,0.9615384615384616
4,1,5,0.9253731343283582
4,1,6,1.0
4,1,7,1.0
4,1,8,1.0
5,0,-10,0.0
5,0,-9,0.0
5,0,-8,0.0
5,0,-7,0.0
5,0,-6,0.0
5,0,-5,0.0
5,0,-4,0.026717557251908396
5,0,-3,0.07692307692307693
5,0,-2,0.16387959866220736
5,0,-1,0.273972602739726
5,0,0,0.42590559824368823
5,0,1,0.5724563206577595
5,0,2,0.719626168224299
5,0,3,0.8254310344827587
5,0,4,0.9182464454976303
5,0,5,0.964824120603015
5,0,6,0.9883449883449883
5,0,7,0.9855072463768116
5,0,8,1.0
5,0,9,1.0
5,0,10,1.0
5,0,11,1.0
5,0,12,1.0
5,0,13,1.0
5,0,14,1.0
5,1,-14,0.0
5,1,-13,0.0
5,1,-12,0.0
5,1,-11,0.0
5,1,-10,0.0
5,1,-9,0.0
5,1,-8,0.0
5,1,-7,0.014492753623188406
5,1,-6,0.011655011655011656
5,1,-5,0.035175879396984924
5,1,-4,0.08175355450236967
5,1,-3,0.17456896551724138
5,1,-2,0.2803738317757009
5,1,-1,0.42754367934224047
5,1,0,0.5740944017563118
5,1,1,0.726027397260274
5,1,2,0.8361204013377926
5,1,3,0.9230769230769231
5,1,4,0.9732824427480916
5,1,5,1.0
5,1,6,1.0
5,1,7,1.0
5,1,8,1.0
5,1,9,1.0
5,1,10,1.0
6,0,-12,0.0
6,0,-11,0.0
6,0,-10,0.0
6,0,-9,0.0
6,0,-8,0.0
6,0,-7,0.0
6,0,-6,0.0
6,0,-5,0.017341040462427744
6,0,-4,0.017605633802816902
6,0,-3,0.05054945054945055
6,0,-2,0.13153724247226625
6,0,-1,0.23937677053824363
6,0,0,0.40245398773006136
6,0,1,0.568904593639576
6,0,2,0.7250580046403712
6,0,3,0.8520408163265306
6,0,4,0.9265536723163842
6,0,5,0.9739583333333334
6,0,6,0.9880668257756563
6,0,7,0.9967213114754099
6,0,8,1.0
6,0,9,1.0
6,0,10,1.0
6,0,11,1.0
6,0,12,1.0
6,0,13,1.0
6,0,14,1.0
